iso_code,continent,location,date,total_cases_per_million,total_deaths_per_million,hospital_beds_per_thousand
ARG,South America,Argentina,2020-02-23,0,0,5
ARG,South America,Argentina,2020-02-24,0,0,5
ARG,South America,Argentina,2020-02-25,0,0,5
ARG,South America,Argentina,2020-02-26,0,0,5
ARG,South America,Argentina,2020-02-27,0,0,5
ARG,South America,Argentina,2020-02-28,0,0,5
ARG,South America,Argentina,2020-02-29,0,0,5
ARG,South America,Argentina,2020-03-01,0,0,5
ARG,South America,Argentina,2020-03-02,0,0,5
ARG,South America,Argentina,2020-03-03,0.022,0,5
ARG,South America,Argentina,2020-03-04,0.022,0,5
ARG,South America,Argentina,2020-03-05,0.022,0,5
ARG,South America,Argentina,2020-03-06,0.044,0,5
ARG,South America,Argentina,2020-03-07,0.177,0,5
ARG,South America,Argentina,2020-03-08,0.266,0.022,5
ARG,South America,Argentina,2020-03-09,0.266,0.022,5
ARG,South America,Argentina,2020-03-10,0.376,0.022,5
ARG,South America,Argentina,2020-03-11,0.42,0.022,5
ARG,South America,Argentina,2020-03-12,0.42,0.022,5
ARG,South America,Argentina,2020-03-13,0.686,0.044,5
ARG,South America,Argentina,2020-03-14,0.752,0.044,5
ARG,South America,Argentina,2020-03-15,0.996,0.044,5
ARG,South America,Argentina,2020-03-16,1.239,0.044,5
ARG,South America,Argentina,2020-03-17,1.505,0.044,5
ARG,South America,Argentina,2020-03-18,1.748,0.044,5
ARG,South America,Argentina,2020-03-19,2.146,0.066,5
ARG,South America,Argentina,2020-03-20,2.832,0.066,5
ARG,South America,Argentina,2020-03-21,3.496,0.089,5
ARG,South America,Argentina,2020-03-22,5.886,0.089,5
ARG,South America,Argentina,2020-03-23,6.66,0.089,5
ARG,South America,Argentina,2020-03-24,8.563,0.133,5
ARG,South America,Argentina,2020-03-25,8.563,0.177,5
ARG,South America,Argentina,2020-03-26,11.107,0.199,5
ARG,South America,Argentina,2020-03-27,13.032,0.288,5
ARG,South America,Argentina,2020-03-28,15.267,0.398,5
ARG,South America,Argentina,2020-03-29,16.484,0.42,5
ARG,South America,Argentina,2020-03-30,18.143,0.509,5
ARG,South America,Argentina,2020-03-31,23.321,0.597,5
ARG,South America,Argentina,2020-04-01,23.321,0.62,5
ARG,South America,Argentina,2020-04-02,25.069,0.797,5
ARG,South America,Argentina,2020-04-03,27.989,0.863,5
ARG,South America,Argentina,2020-04-04,32.105,0.951,5
ARG,South America,Argentina,2020-04-05,32.105,0.974,5
ARG,South America,Argentina,2020-04-06,34.384,1.062,5
ARG,South America,Argentina,2020-04-07,36.021,1.239,5
ARG,South America,Argentina,2020-04-08,37.946,1.394,5
ARG,South America,Argentina,2020-04-09,39.716,1.593,5
ARG,South America,Argentina,2020-04-10,43.699,1.814,5
ARG,South America,Argentina,2020-04-11,43.699,1.836,5
ARG,South America,Argentina,2020-04-12,47.394,1.991,5
ARG,South America,Argentina,2020-04-13,48.854,2.146,5
ARG,South America,Argentina,2020-04-14,50.381,2.257,5
ARG,South America,Argentina,2020-04-15,54.054,2.456,5
ARG,South America,Argentina,2020-04-16,56.886,2.544,5
ARG,South America,Argentina,2020-04-17,59.054,2.721,5
ARG,South America,Argentina,2020-04-18,61.023,2.854,5
ARG,South America,Argentina,2020-04-19,62.816,2.921,5
ARG,South America,Argentina,2020-04-20,65.072,3.009,5
ARG,South America,Argentina,2020-04-21,67.064,3.253,5
ARG,South America,Argentina,2020-04-22,69.564,3.363,5
ARG,South America,Argentina,2020-04-23,76.003,3.651,5
ARG,South America,Argentina,2020-04-24,79.808,3.894,5
ARG,South America,Argentina,2020-04-25,83.636,4.093,5
ARG,South America,Argentina,2020-04-26,86.114,4.248,5
ARG,South America,Argentina,2020-04-27,88.57,4.359,5
ARG,South America,Argentina,2020-04-28,91.314,4.58,5
ARG,South America,Argentina,2020-04-29,94.81,4.735,5
ARG,South America,Argentina,2020-04-30,97.974,4.823,5
ARG,South America,Argentina,2020-05-01,100.275,4.978,5
ARG,South America,Argentina,2020-05-02,103.572,5.244,5
ARG,South America,Argentina,2020-05-03,105.828,5.443,5
ARG,South America,Argentina,2020-05-04,108.13,5.753,5
ARG,South America,Argentina,2020-05-05,111.072,5.841,5
ARG,South America,Argentina,2020-05-06,115.232,6.04,5
ARG,South America,Argentina,2020-05-07,118.839,6.24,5
ARG,South America,Argentina,2020-05-08,124.149,6.483,5
ARG,South America,Argentina,2020-05-09,127.8,6.638,5
ARG,South America,Argentina,2020-05-10,133.508,6.748,5
ARG,South America,Argentina,2020-05-11,138.907,6.948,5
ARG,South America,Argentina,2020-05-12,145.213,7.058,5
ARG,South America,Argentina,2020-05-13,152.204,7.279,5
ARG,South America,Argentina,2020-05-14,157.847,7.81,5
ARG,South America,Argentina,2020-05-15,165.48,7.877,5
ARG,South America,Argentina,2020-05-16,172.693,8.032,5
ARG,South America,Argentina,2020-05-17,178.512,8.253,5
ARG,South America,Argentina,2020-05-18,185.216,8.452,5
ARG,South America,Argentina,2020-05-19,194.908,8.696,5
ARG,South America,Argentina,2020-05-20,205.395,8.917,5
ARG,South America,Argentina,2020-05-21,219.733,9.204,5
ARG,South America,Argentina,2020-05-22,235.619,9.581,5
ARG,South America,Argentina,2020-05-23,251.196,9.846,5
ARG,South America,Argentina,2020-05-24,267.193,10.001,5
ARG,South America,Argentina,2020-05-25,279.407,10.333,5
ARG,South America,Argentina,2020-05-26,292.682,10.709,5
ARG,South America,Argentina,2020-05-27,308.281,11.063,5
ARG,South America,Argentina,2020-05-28,325.296,11.24,5
ARG,South America,Argentina,2020-05-29,341.16,11.505,5
ARG,South America,Argentina,2020-05-30,358.75,11.683,5
ARG,South America,Argentina,2020-05-31,372.845,11.926,5
ARG,South America,Argentina,2020-06-01,385.324,12.302,5
ARG,South America,Argentina,2020-06-02,405.325,12.59,5
ARG,South America,Argentina,2020-06-03,426.323,12.899,5
ARG,South America,Argentina,2020-06-04,446.878,13.453,5
ARG,South America,Argentina,2020-06-05,465.464,13.984,5
ARG,South America,Argentina,2020-06-06,487.214,14.338,5
ARG,South America,Argentina,2020-06-07,504.339,14.692,5
ARG,South America,Argentina,2020-06-08,522.615,15.333,5
ARG,South America,Argentina,2020-06-09,547.861,15.864,5
ARG,South America,Argentina,2020-06-10,574.987,16.263,5
ARG,South America,Argentina,2020-06-11,605.654,16.926,5
ARG,South America,Argentina,2020-06-12,636.431,17.369,5
ARG,South America,Argentina,2020-06-13,670.306,18.033,5
ARG,South America,Argentina,2020-06-14,698.671,18.431,5
ARG,South America,Argentina,2020-06-15,725.4,18.896,5
ARG,South America,Argentina,2020-06-16,755.801,19.427,5
ARG,South America,Argentina,2020-06-17,786.622,20.201,5
ARG,South America,Argentina,2020-06-18,829.945,20.975,5
ARG,South America,Argentina,2020-06-19,875.524,21.661,5
ARG,South America,Argentina,2020-06-20,911.678,21.949,5
ARG,South America,Argentina,2020-06-21,946.659,22.369,5
ARG,South America,Argentina,2020-06-22,994.142,23.077,5
ARG,South America,Argentina,2020-06-23,1044.412,23.852,5
ARG,South America,Argentina,2020-06-24,1103.001,24.693,5
ARG,South America,Argentina,2020-06-25,1160.662,25.445,5
ARG,South America,Argentina,2020-06-26,1224.517,26.197,5
ARG,South America,Argentina,2020-06-27,1277.641,26.706,5
ARG,South America,Argentina,2020-06-28,1326.075,27.259,5
ARG,South America,Argentina,2020-06-29,1377.739,28.321,5
ARG,South America,Argentina,2020-06-30,1427.788,28.919,5
ARG,South America,Argentina,2020-07-01,1486.798,29.892,5
ARG,South America,Argentina,2020-07-02,1547.512,30.644,5
ARG,South America,Argentina,2020-07-03,1610.46,31.795,5
ARG,South America,Argentina,2020-07-04,1667.766,32.769,5
ARG,South America,Argentina,2020-07-05,1721.732,33.344,5
ARG,South America,Argentina,2020-07-06,1779.967,35.003,5
ARG,South America,Argentina,2020-07-07,1845.88,36.375,5
ARG,South America,Argentina,2020-07-08,1925.622,37.481,5
ARG,South America,Argentina,2020-07-09,2006.67,38.057,5
ARG,South America,Argentina,2020-07-10,2081.168,39.251,5
ARG,South America,Argentina,2020-07-11,2157.48,40.048,5
ARG,South America,Argentina,2020-07-12,2216.269,40.822,5
ARG,South America,Argentina,2020-07-13,2284.837,42.106,5
ARG,South America,Argentina,2020-07-14,2365.486,43.544,5
ARG,South America,Argentina,2020-07-15,2459.212,45.358,5
ARG,South America,Argentina,2020-07-16,2539.684,46.73,5
ARG,South America,Argentina,2020-07-17,2639.649,48.19,5
ARG,South America,Argentina,2020-07-18,2710.961,49.12,5
ARG,South America,Argentina,2020-07-19,2804.576,50.005,5
ARG,South America,Argentina,2020-07-20,2893.5,52.505,5
ARG,South America,Argentina,2020-07-21,3011.742,55.094,5
ARG,South America,Argentina,2020-07-22,3139.674,57.262,5
ARG,South America,Argentina,2020-07-23,3275.24,59.784,5
ARG,South America,Argentina,2020-07-24,3396.778,62.108,5
ARG,South America,Argentina,2020-07-25,3503.292,64.01,5
ARG,South America,Argentina,2020-07-26,3596.044,65.028,5
ARG,South America,Argentina,2020-07-27,3704.24,67.683,5
ARG,South America,Argentina,2020-07-28,3835.646,70.338,5
ARG,South America,Argentina,2020-07-29,3960.459,72.75,5
ARG,South America,Argentina,2020-07-30,4101.556,76.135,5
ARG,South America,Argentina,2020-07-31,4232.741,78.392,5
ARG,South America,Argentina,2020-08-01,4348.703,79.565,5
ARG,South America,Argentina,2020-08-02,4467.652,80.716,5
ARG,South America,Argentina,2020-08-03,4574.388,84.366,5
ARG,South America,Argentina,2020-08-04,4724.667,88.039,5
ARG,South America,Argentina,2020-08-05,4882.801,90.849,5
ARG,South America,Argentina,2020-08-06,5049.034,94.057,5
ARG,South America,Argentina,2020-08-07,5214.58,97.598,5
ARG,South America,Argentina,2020-08-08,5350.301,100.076,5
ARG,South America,Argentina,2020-08-09,5454.027,101.912,5
ARG,South America,Argentina,2020-08-10,5617.073,105.408,5
ARG,South America,Argentina,2020-08-11,5772.907,110.718,5
ARG,South America,Argentina,2020-08-12,5942.458,115.343,5
ARG,South America,Argentina,2020-08-13,6108.358,118.639,5
ARG,South America,Argentina,2020-08-14,6249.19,122.29,5
ARG,South America,Argentina,2020-08-15,6396.615,124.724,5
ARG,South America,Argentina,2020-08-16,6517.622,126.184,5
ARG,South America,Argentina,2020-08-17,6618.45,128.64,5
ARG,South America,Argentina,2020-08-18,6769.792,133.818,5
ARG,South America,Argentina,2020-08-19,6917.881,140.057,5
ARG,South America,Argentina,2020-08-20,7099.867,144.195,5
ARG,South America,Argentina,2020-08-21,7280.393,148.908,5
ARG,South America,Argentina,2020-08-22,7452.068,151.519,5
ARG,South America,Argentina,2020-08-23,7570.486,154.55,5
ARG,South America,Argentina,2020-08-24,7763.27,162.98,5
ARG,South America,Argentina,2020-08-25,7957.336,167.339,5
ARG,South America,Argentina,2020-08-26,8190.765,173.445,5
ARG,South America,Argentina,2020-08-27,8414.326,178.114,5
ARG,South America,Argentina,2020-08-28,8673.576,183.004,5
ARG,South America,Argentina,2020-08-29,8877.798,184.818,5
ARG,South America,Argentina,2020-08-30,9036.818,187.119,5
ARG,South America,Argentina,2020-08-31,9242.788,191.611,5
ARG,South America,Argentina,2020-09-01,9475.199,197.341,5
ARG,South America,Argentina,2020-09-02,9717.103,201.745,5
ARG,South America,Argentina,2020-09-03,9983.189,207.121,5
ARG,South America,Argentina,2020-09-04,10219.583,212.918,5
ARG,South America,Argentina,2020-09-05,10439.161,215.485,5
ARG,South America,Argentina,2020-09-06,10593.733,218.14,5
ARG,South America,Argentina,2020-09-07,10797.624,224.114,5
ARG,South America,Argentina,2020-09-08,11063.733,230.221,5
ARG,South America,Argentina,2020-09-09,11334.975,235.818,5
ARG,South America,Argentina,2020-09-10,11598.385,241.328,5
ARG,South America,Argentina,2020-09-11,11852.988,246.66,5
ARG,South America,Argentina,2020-09-12,12091.417,249.205,5
ARG,South America,Argentina,2020-09-13,12291.79,251.174,5
ARG,South America,Argentina,2020-09-14,12511.036,258.144,5
ARG,South America,Argentina,2020-09-15,12774.158,262.237,5
ARG,South America,Argentina,2020-09-16,13032.457,268.078,5
ARG,South America,Argentina,2020-09-17,13313.478,275.689,5
ARG,South America,Argentina,2020-09-18,13577.773,280.026,5
ARG,South America,Argentina,2020-09-19,13783.013,283.19,5
ARG,South America,Argentina,2020-09-20,13969.557,288.81,5
ARG,South America,Argentina,2020-09-21,14163.868,298.302,5
ARG,South America,Argentina,2020-09-22,14429.976,308.701,5
ARG,South America,Argentina,2020-09-23,14709.317,318.083,5
ARG,South America,Argentina,2020-09-24,15007.287,326.712,5
ARG,South America,Argentina,2020-09-25,15294.239,336.492,5
