D’a,TOTAL UCI,TOTAL NO UCI,TOTAL NIVEL II
07/01/20,77.7777778,66.6666667,0
07/02/20,72.2222222,68.115942,0
07/03/20,72.2222222,68.115942,0
07/04/20,77.7777778,78.2608696,0
07/05/20,88.8888889,68.115942,0
07/06/20,65.2173913,59.5959596,0
07/07/20,60.8695652,65.6565657,0
07/08/20,57.6923077,68.0412371,0
07/09/20,53.8461538,71.1340206,0
07/10/20,57.6923077,77.3195876,0
07/11/20,80.7692308,75.257732,0
07/12/20,76.9230769,79.3814433,0
07/13/20,80.7692308,41.1167513,0
07/14/20,80.7692308,41.6243655,0
07/15/20,76.9230769,46.1928934,0
07/16/20,76.9230769,54.822335,0
07/17/20,73.0769231,64.4670051,0
07/18/20,80,69.5431472,0
07/19/20,76,74.1116751,0
07/20/20,83.3333333,79.7297297,0
07/21/20,87.5,78.3783784,0
07/22/20,87.5,78.3783784,0
07/23/20,84,80.1801802,0
07/24/20,84,91.4414414,0
07/25/20,92,90.990991,0
07/26/20,88,90.990991,0
07/27/20,88,94.5945946,0
07/28/20,92,93.2432432,0
07/29/20,92,98.1981982,0
07/30/20,92,104.5045045,0
07/31/20,96,109.009009,0
08/01/20,96,105.4054054,0
08/02/20,96,109.009009,0
08/03/20,96,112.6126126,0
08/04/20,88,100.8547009,0
08/05/20,96,106.3973064,0
08/06/20,96,114.4781145,0
08/07/20,95.6521739,112.2186495,0
08/08/20,95.6521739,116.3987138,0
08/09/20,95.6521739,111.5755627,26.8041237
08/10/20,104.3478261,108.681672,29.8969072
08/11/20,104.3478261,112.3417722,30.9278351
08/12/20,104.3478261,124.6835443,37.1134021
08/13/20,104.3478261,111.7816092,39.1752577
08/14/20,104.3478261,109.4827586,35.0515464
08/15/20,104.3478261,109.4827586,35.0515464
08/16/20,104.3478261,109.4827586,35.0515464
08/17/20,104.3478261,108.6206897,32.9896907
08/18/20,104.3478261,109.4827586,31.9587629
08/19/20,104.3478261,110.0574713,31.9587629
08/20/20,104.3478261,107.183908,31.9587629
08/21/20,104.3478261,112.3209169,35.1648352
08/22/20,100,110.3151862,34.0659341
08/23/20,100,111.1747851,34.0659341
08/24/20,100,110.4651163,40.6593407
08/25/20,100,108.1871345,34.0659341
08/26/20,104.3478261,111.6959064,34.0659341
08/27/20,104.3478261,111.1111111,34.0659341
08/28/20,104.3478261,111.6959064,34.0659341
08/29/20,108.6956522,110.2339181,34.0659341
08/30/20,108.6956522,108.4795322,34.0659341
08/31/20,104.1666667,84.0909091,34.0206186
09/01/20,104.1666667,84.0909091,34.0206186
09/02/20,100,84.4632768,39.1752577
09/03/20,100,78.5326087,25.7731959
09/04/20,100,80.7017544,24.742268
09/05/20,96,79.6992481,24.742268
09/06/20,96,82.7067669,24.742268
09/07/20,96,81.9548872,24.742268
09/08/20,96,71.679198,24.742268
09/09/20,103.7037037,66.43026,22.6804124
09/10/20,96.2962963,67.7184466,27.8350515
09/11/20,92.5925926,67.7184466,24.742268
09/12/20,100,65.776699,27.8350515
09/13/20,100,62.3786408,32.9896907
09/14/20,100,60.6796117,27.8350515
09/15/20,103.7037037,59.7087379,34.0206186
09/16/20,100,57.7669903,25.7731959
09/17/20,103.7037037,57.038835,27.8350515
09/18/20,103.7037037,56.9587629,30.9278351
09/19/20,96.2962963,58.5051546,29.8969072
09/20/20,96.2962963,58.2474227,29.8969072
09/21/20,92.5925926,57.7319588,24.2990654
09/22/20,88.8888889,49.3297587,26.1682243
09/23/20,88.8888889,50.6702413,24.2990654
09/24/20,94.1176471,49.5978552,24.2990654
09/25/20,94.1176471,46.9168901,24.2990654
09/26/20,91.1764706,48.7935657,24.2990654
09/27/20,94.1176471,49.5978552,30.7692308
09/28/20,94.1176471,49.5978552,30.7692308
09/29/20,94.1176471,48.5254692,30.7692308
09/30/20,94.1176471,49.5978552,30.7692308
10/01/20,91.1764706,45.308311,30.7692308
10/02/20,91.1764706,42.3592493,29.6703297
10/03/20,91.1764706,41.0187668,29.6703297
10/04/20,91.1764706,40.9972299,29.6703297
10/05/20,94.1176471,40.166205,29.6703297
10/06/20,94.1176471,40.166205,29.6703297
10/07/20,88.2352941,40.166205,35.1648352
10/08/20,94.1176471,41.5512465,36.2637363
10/09/20,88.2352941,37.9501385,35.1648352
10/10/20,85.2941176,39.6121884,36.2637363
10/11/20,85.2941176,42.6592798,25.3846154
10/12/20,85.2941176,38.028169,21.5384615
10/13/20,91.1764706,37.7464789,20
10/14/20,88.2352941,37.6044568,13.3333333
10/15/20,79.4117647,35.6545961,16
10/16/20,85.2941176,35.6545961,19.3333333
10/17/20,88.2352941,35.6545961,16.6666667
10/18/20,88.2352941,37.6044568,17.3333333
10/19/20,84.2105263,35.8156028,18
10/20/20,84.2105263,33.3333333,20
10/21/20,78.9473684,35.8156028,20
