fecha,positivo,positivo_rapida,positivo_molecular,positivo_antigenica,muestra,muestra_rapida,muestra_molecular,muestra_antigenica,sintomaticos,defunciones,inicio,inicio_molecular,inicio_rapida,inicio_antigenica,recuperado,total_positivo,total_positivo_rapida,total_positivo_molecular,total_positivo_antigenica,total_muestra,total_muestra_rapida,total_muestra_molecular,total_muestra_antigenica,total_recuperado,total_sintomaticos,total_defunciones,total_inicio,total_inicio_molecular,total_inicio_rapida,total_inicio_antigenica,posi,posi_rapida,posi_molecular,posi_antigenica,dias,primera_ola_positivo,segunda_ola_positivo,primera_ola_defunciones,segunda_ola_defunciones,primera_ola_tasamolecular,segunda_ola_tasamolecular
2020-03-06,,,,,,,,,,,1,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,,,1,,98,1,3,.20382166,.19047619
2020-03-07,,,,,,,,,,,2,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,,,,,2,,152,1,5,.1682243,.15384616
2020-03-08,,,,,,,,,,,1,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,,,,,3,,117,3,2,.22972973,.29032257
2020-03-09,,,,,,,,,,,1,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,5,4,4,0,,,,,4,,37,2,6,,
2020-03-10,,,,,,,,,,,3,2,2,1,,0,0,0,0,0,0,0,0,0,0,0,8,6,6,1,,,,,5,,111,0,6,.22105263,.29545453
2020-03-11,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,8,6,6,1,,,,,6,,73,3,3,.09565217,.12068965
2020-03-12,,,,,,,,,,,1,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,9,7,7,1,,,,,7,,132,3,6,.14563107,.36585367
2020-03-13,1,0,1,0,3,0,3,0,1,0,0,0,0,0,,1,0,1,0,3,0,3,0,0,1,0,9,7,7,1,.33333334,,.33333334,,8,0,110,5,5,.12195122,.2
2020-03-14,0,0,0,0,1,1,0,0,0,0,2,1,1,0,,1,0,1,0,4,1,3,0,0,1,0,11,8,8,1,0,0,,,9,0,218,7,9,.11695907,
2020-03-15,0,0,0,0,20,3,17,0,0,0,4,3,3,0,,1,0,1,0,24,4,20,0,0,1,0,15,11,11,1,0,0,0,,10,0,159,1,6,.061538462,.29310346
2020-03-16,0,0,0,0,2,0,2,0,0,0,3,2,2,0,,1,0,1,0,26,4,22,0,0,1,0,18,13,13,1,0,,0,,11,0,32,2,7,,
2020-03-17,0,0,0,0,1,0,1,0,0,0,4,2,2,0,,1,0,1,0,27,4,23,0,0,1,0,22,15,15,1,0,,0,,12,0,108,2,10,.11574074,.24561404
2020-03-18,3,0,3,0,16,0,16,0,3,0,5,4,4,0,,4,0,4,0,43,4,39,0,0,4,0,27,19,19,1,.1875,,.1875,,13,0,217,2,10,.11555555,.3882353
2020-03-19,0,0,0,0,3,2,1,0,0,0,2,2,2,0,,4,0,4,0,46,6,40,0,0,4,0,29,21,21,1,0,0,0,,14,0,318,3,9,.13855422,.31884059
2020-03-20,1,1,0,0,14,2,12,0,0,0,7,5,5,0,,5,1,4,0,60,8,52,0,0,4,0,36,26,26,1,.071428575,.5,0,,15,0,200,2,5,.17692308,.26041666
2020-03-21,0,0,0,0,12,0,12,0,0,0,4,3,3,0,,5,1,4,0,72,8,64,0,0,4,0,40,29,29,1,0,,0,,16,0,284,1,8,.14925373,.20930232
2020-03-22,3,1,2,0,5,1,4,0,2,0,4,3,3,0,,8,2,6,0,77,9,68,0,0,6,0,44,32,32,1,.60000002,1,.5,,17,0,316,2,11,.083333336,.11111111
2020-03-23,0,0,0,0,18,0,18,0,0,0,3,2,2,0,,8,2,6,0,95,9,86,0,0,6,0,47,34,34,1,0,,0,,18,0,45,5,7,,
2020-03-24,4,0,4,0,14,0,13,0,4,1,8,7,7,0,,12,2,10,0,109,9,99,0,0,10,1,55,41,41,1,.2857143,,.30769232,,19,0,129,3,9,.23999999,.21582733
2020-03-25,1,1,0,0,2,2,0,0,0,0,7,6,6,0,,13,3,10,0,111,11,99,0,0,10,1,62,47,47,1,.5,.5,,,20,0,63,2,17,.1491228,.22988506
2020-03-26,0,0,0,0,1,0,1,0,0,0,5,4,4,0,,13,3,10,0,112,11,100,0,0,10,1,67,51,51,1,0,,0,,21,0,112,0,7,.16666667,.32467532
2020-03-27,2,0,2,0,20,0,19,0,2,1,5,4,4,0,2,15,3,12,0,132,11,119,0,2,12,2,72,55,55,1,.1,,.10526316,,22,0,67,2,11,.081481479,.19736843
2020-03-28,16,0,16,0,32,1,31,0,16,0,2,1,1,0,,31,3,28,0,164,12,150,0,2,28,2,74,56,56,1,.5,0,.51612902,,23,0,26,1,9,.10309278,.31386861
